Day,Weather,Exam_Day,Price,Food_Type,Demand
Sunday,Sunny,Yes,52,Beverage,Low
Monday,Cloudy,No,56,Beverage,Low
Tuesday,Rainy,No,22,Meal,Low
Sunday,Sunny,No,38,Beverage,Low
Thursday,Cloudy,No,22,Meal,Low
Wednesday,Rainy,Yes,58,Beverage,Low
Wednesday,Sunny,Yes,33,Beverage,High
Friday,Cloudy,Yes,48,Meal,Low
Wednesday,Cloudy,Yes,43,Meal,Low
Friday,Rainy,Yes,38,Beverage,Low
Wednesday,Cloudy,No,27,Snack,High
Sunday,Rainy,No,39,Beverage,Low
Thursday,Cloudy,No,49,Snack,High
Saturday,Rainy,Yes,21,Snack,High
Sunday,Cloudy,No,57,Beverage,Low
Sunday,Rainy,Yes,56,Beverage,Low
Monday,Cloudy,No,51,Beverage,Low
Monday,Cloudy,No,31,Snack,Low
Tuesday,Cloudy,Yes,35,Beverage,High
Tuesday,Sunny,No,51,Meal,Low
Wednesday,Cloudy,No,25,Snack,Low
Tuesday,Cloudy,No,46,Meal,Low
Friday,Cloudy,Yes,32,Snack,High
Friday,Rainy,Yes,42,Snack,Low
Tuesday,Cloudy,No,33,Meal,Low
Tuesday,Cloudy,Yes,42,Snack,Low
Tuesday,Cloudy,Yes,34,Meal,High
Thursday,Rainy,No,47,Beverage,Low
Monday,Sunny,No,25,Snack,High
Wednesday,Sunny,Yes,24,Beverage,High
Friday,Rainy,No,38,Snack,Low
Saturday,Sunny,No,55,Snack,Low
Thursday,Rainy,No,37,Beverage,Low
Thursday,Cloudy,No,56,Beverage,Low
Saturday,Rainy,Yes,57,Snack,Low
Friday,Rainy,Yes,46,Beverage,Low
Saturday,Rainy,No,31,Snack,Low
Friday,Rainy,Yes,37,Meal,High
Thursday,Rainy,No,26,Snack,Low
Tuesday,Cloudy,No,52,Beverage,Low
Sunday,Cloudy,No,26,Snack,Low
Thursday,Rainy,No,23,Meal,Low
Sunday,Rainy,No,56,Snack,Low
Thursday,Sunny,No,60,Snack,Low
Monday,Sunny,Yes,55,Meal,Low
Monday,Sunny,Yes,48,Snack,High
Saturday,Rainy,Yes,45,Meal,High
Thursday,Sunny,Yes,50,Meal,Low
Tuesday,Cloudy,Yes,31,Beverage,High
Monday,Sunny,No,57,Snack,Low
Monday,Sunny,Yes,32,Snack,High
Thursday,Cloudy,No,29,Meal,Low
Wednesday,Cloudy,Yes,38,Beverage,High
Monday,Rainy,No,48,Meal,High
Wednesday,Cloudy,Yes,20,Meal,High
Thursday,Rainy,No,30,Beverage,Low
Tuesday,Cloudy,Yes,28,Snack,High
Wednesday,Cloudy,No,32,Beverage,Low
